CountryCode,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
AUT,0.24127891925984774,0.43071185934228257,0.040468796603187036,0.002223899601703055,0.11804208507307581,0.0013048583538006373,0.0002840677805994869,0.017321519014825777,0.03592105822221232,4.452909903353439e-05,0.0017620490556882673,0.05994621730688277,0.00018836464436910625,0.036852491472532854,0.00244045666990884,0.004787733605307058,0.0023298908783272666,0.0017344289755197786,0.0006087696026431203,0.0015565239823403282,5.83278025085127e-05,7.712555276144093e-05,5.602810064254193e-05
AZE,0.010806727470117187,0.049867298324520304,0.00862804399872047,0.08389576562234835,0.38144613766307833,0.18463053343765665,0.004819411304929052,0.001973615617799967,0.025285542829296796,0.0015995016051559314,0.008157453189427386,0.001409772248344949,0.14267162693902255,0.0537581937932549,0.000643300593378435,0.005006447671547321,0.02253500908386212,0.004600842721290798,5.651972916179444e-05,2.2873542547887984e-06,0.0046364332071238655,0.0031067713223359283,0.0004627642733722196
BDI,0.3238473937515442,0.014258004727019841,0.08755426560289152,0.19276514162714167,0.11970066281052269,0.09373221363686907,0.005987084971424594,0.03468554191773151,0.06118921905712976,0.0036837091289859203,0.03884655356012705,0.00204166410748543,8.127328262461701e-07,0.00014503909016202766,0.009836876377202939,0.0015807310650380285,0.00046916150256469673,0.0006237416003289461,0.008605487191492619,1.0487603006508338e-05,0.000384675291716386,7.423916672016433e-06,4.4108730116112044e-05
BEL,0.3360351363378815,0.3760524321474699,0.017249413652419367,0.005556429381904907,0.1556697716890889,0.01346934960112006,0.00017293535022870558,0.00473442242335415,0.03153055286965576,0.005475278817457465,1.5282276405671013e-05,0.020330710104770083,0.00013775304100071786,0.0032945085232578145,0.0007283107601623386,0.006386821649857042,0.02017759073175444,0.0016982513393219991,0.0008846073109789027,5.230717156396294e-05,0.00027288792698083614,5.391165096775298e-05,2.1335242397553284e-05
BEN,0.6726938622998352,0.05877783933813352,0.0009199320438006958,0.08878482287588935,0.007139098978287226,4.59847465750318e-06,0.03187304700035443,0.01074668913502769,0.021247632328665056,0.04715799368020204,0.0043606110720320656,0.028160527724407747,0.002264984631575978,0.018390662186535484,0.00119950430159765,0.0030533643389558285,0.0015365402736054494,0.000583573649115456,2.0830538899020293e-05,4.4076941073275764e-07,0.0008673376566956827,0.00021430248628362796,1.804216032548388e-06
BFA,0.4568969830111767,0.026483182190948286,0.020374227050782855,0.13244188479283353,0.21549796914099267,0.037252434586624396,0.0041125959576474086,0.005728659565079249,0.02303701718778762,0.040930452295357266,0.016788200588178506,0.00952855287244321,0.0001873588914519024,0.007334813788330542,3.623909853882991e-05,0.00023435618229682964,0.0018845029793845597,9.713091764012083e-05,0.001006442087035215,5.83941580064144e-06,3.3231191863571154e-05,6.191460196547655e-05,4.601160584059502e-05
BGD,0.0622798104654276,0.1478706600711382,0.18040599528602785,0.23469393932164379,0.12626451678168565,0.018051189012696114,0.007086823115032969,0.08876178157556493,1.5631273693472718e-06,0.00022758010339790196,0.014383590287759828,0.005441902710080479,0.0006408123874815355,0.02854477977989147,0.04528430670976929,0.006383418163907313,0.007819844791967224,0.013441247475825268,0.0007266171481628322,0.008626960723607302,0.0003768235731787979,0.0006328534466350635,0.002052983941749619
BGR,0.47617771959092536,0.046738151221501475,0.14154912322342095,0.014878823494622257,0.09772959621931648,0.0019314434484557315,0.08563074939589031,0.06074889091597201,0.006932645728183127,0.005325737363303335,0.028442616947218686,4.544449457755553e-06,0.0024448393956515353,0.016940672818878108,0.001175583290063042,0.0005609744980274032,0.0031269108175957104,0.0007611726718990931,0.007393977793062195,0.0005204638788458256,0.0008236085825109097,0.00015247274552120313,9.28150967769207e-06
BHR,0.037824038826783986,0.16305732396586908,0.04113986016214699,0.0003739371337363441,0.0017233833107053607,0.4566831610004142,0.01225287253997116,0.0031632322184214383,0.004331348453106312,0.033092027699587655,0.008332800226058515,0.0059445608925932664,0.19078877709762831,0.034615870580640466,2.3759469992617928e-05,0.0032561754794686423,0.0012801028768265675,0.00040412408266279475,3.441621460663419e-05,0.00013288921386331982,0.0014241791917015553,8.026002127496492e-07,0.00012035676300206548
BHS,0.006237788283362849,0.06030071844965598,0.07261097678959968,0.15947039086834675,0.06689975485788557,0.21781125778421823,0.03947458178918908,0.1749617162000117,0.009284877678053487,0.08259606582992161,0.01834614493931229,0.0048346005845593286,0.032021990388760656,0.04608218723357719,0.005099483438195297,0.0004560368340197689,6.414512445940642e-05,0.000999876127742372,0.0016644556611126148,4.318689421012058e-05,3.654394877944276e-05,1.6415812531330916e-05,0.0006868044824951292
