Code,denumire_coloana,Shannon,Simpson
21668,Buhoci,0.014465043829944124,-18.996387369882953
21720,Casin,0.09466239061192484,-19.962457867594626
21757,Caiuti,0.10447148215748361,-19.957598016842187
21855,Cleja,0.2150565440890762,-18.912865933983213
21891,Colonesti,-0.0,-21.0
21971,Corbasca,0.6501512028074515,-19.542376133573367
22059,Cotofanesti,0.5840090700314493,-18.63843809741247
22111,Damienesti,0.01314482412239388,-19.99641578216207
22166,Oras Darmanesti,0.2982009723161878,-15.846415422954564
22237,Dealu Morii,-0.0,-21.0
22380,Dofteana,0.0741360584799587,-18.97337088887749
22460,Faraoani,0.20188259054779842,-17.9247256985727
22488,Filipeni,-0.0,-21.0
22576,Filipesti,0.1435873537572155,-18.938806439834053
22665,Gaiceana,0.06818946942268443,-18.9780828057167
22718,Ghimes-Faget,0.8232825375803434,-17.472940402225085
22781,Garleni,0.08435045488644603,-17.972656944678896
22834,Glavanesti,0.036329757745777055,-19.98820649818129
22898,Helegiu,-0.0,-21.0
22941,Horgesti,0.012039745045765524,-19.996761516730643
23047,Huruiesti,-0.0,-21.0
23127,Izvoru Berheciului,-0.0,-21.0
23207,Lipova,0.02366059866147824,-19.992892769855985
23289,Livezi,0.24007121778186136,-19.87873568263588
23350,Luizi-Calugara,0.060207251379137815,-18.979692776788962
23387,Magiresti,-0.0,-21.0
23449,Manastirea Casin,0.018393090198006577,-18.995225145373926
23494,Motoseni,-0.0,-21.0
23644,Negri,-0.0,-21.0
23715,Nicolae Balcescu,0.12594259625292356,-17.95511921779336
23797,Oituz,0.012232514457796724,-18.99696500731247
23868,Oncesti,-0.0,-21.0
23948,Orbeni,0.006663577932199239,-19.998356615737535
23975,Palanca,0.03914958595178781,-19.987109198181475
24034,Parava,0.46426860450704366,-19.710795345979793
24089,Parincea,0.08470760513818357,-17.97333823858203
24187,Pancesti,0.11581032077743827,-19.95181790765226
24276,Pargaresti,0.016330216823544786,-19.99539066760134
24338,Parjol,0.2604779127868154,-18.88900170836467
24427,Plopana,0.019215460994747396,-19.994429012827315
24524,Podu Turcului,-0.0,-21.0
24631,Poduri,0.1498400577485048,-19.933499130815207
24711,Racova,-0.0,-21.0
24766,Racaciuni,0.388546139664425,-16.83580909985323
24837,Rachitoasa,0.06001943198007212,-19.978471449521805
24999,Rosiori,-0.0,-21.0
25068,Sascut,0.1329943274684225,-18.94430882226194
25148,Sanduleni,0.022936776927038712,-19.99314715533989
25228,Saucesti,0.03139995433074425,-16.99204844736675
25291,Scorteni,0.08287924127579001,-19.96811417144464
25362,Secuieni,-0.0,-21.0
25488,Solont,0.08216409514560195,-18.970424737427315
25521,Stanisesti,-0.0,-21.0
25629,Strugari,0.04661066708404777,-19.984121368177725
25692,Tamasi,-0.0,-21.0
25745,Tatarasti,-0.0,-21.0
25825,Targu Trotus,0.010913852952177509,-19.997108041594082
25861,Traian,-0.0,-21.0
25932,Ungureni,-0.0,-21.0
26029,Urechesti,0.021197149656292123,-18.99440610227165
26083,Valea Seaca,0.6532757572371001,-19.539338627122184
26118,Vultureni,0.014353072514753037,-19.996031761715987
26289,Zemes,-0.0,-21.0
26320,Sarata,-0.0,-21.0
26338,Buciumi,0.5587864784934213,-19.62822567389875
26346,Gioseni,0.09984218654074391,-17.966396104157013
26353,Odobesti,-0.0,-21.0
26361,Prajesti,-0.0,-21.0
26379,Itesti,0.03931678792384313,-18.988461772885003
26564,Municipiul Oradea,0.6835877339980158,-3.5961412200875618
26582,Sanmartin,0.4728923943543458,-14.776762822173065
26653,Santandrei,0.6370551635270733,-15.710539821787012
26699,Oras Alesd,1.0379477657038974,-15.459021404263051
26742,Astileu,0.48015659139331723,-16.787488407055505
26804,Municipiul Beius,0.40476483293269094,-14.812687881619151
26840,Oras Stei,0.1622034125422068,-16.933410588514434
26877,Municipiul Marghita,0.9058401506905532,-14.445981696479494
26920,Oras Nucet,0.3325460819283102,-17.855382668021484
26975,Municipiul Salonta,0.8005888329830932,-13.491175392324983
27007,Oras Vascau,0.18188193427358934,-17.92779831643599
27070,Abram,0.6406001730135653,-17.66159254033753
27169,Abramut,0.9782984018401827,-17.42405150255999
27212,Auseu,0.5366853648677933,-17.733842434367734
27285,Avram Iancu,0.7554179555617672,-18.56917672930248
27329,Balc,0.9315691681056264,-17.45653226190016
27383,Batar,0.9444666988034564,-18.439739268143978
27436,Biharia,0.521755091610544,-16.71050197388936
27506,Boianu Mare,0.2561025472141547,-18.883336649324903
27560,Borod,0.6077011966571251,-17.687335304194885
27631,Bors,0.43375877961472414,-14.776706037495869
27686,Bratca,0.24406161874399787,-17.88986422177063
27757,Brusturi,0.5824225927489084,-16.729276608423454
27846,Budureasa,0.5493317109350336,-19.636776232246877
27908,Buduslau,0.22491307384630665,-18.902776917458
27935,Bulz,0.14782604732363583,-18.9403237489528
27971,Buntesti,0.02633557494626567,-18.99282004163929
28077,Cabesti,0.09036931685801497,-18.967566256605952
28139,Capalna,0.5552224963127438,-18.69434549517352
28193,Carpinet,0.1429861535740419,-17.946498060941828
28246,Cefa,0.5704696214753588,-17.71013271915255
28335,Ceica,0.07420341906565586,-18.975405333336003
28415,Cetariu,0.544331743716968,-18.698648067906287
28497,Cherechiu,0.22904702764986856,-18.905001313002224
28530,Chislaz,0.8650113848883396,-18.460303288478073
28610,Ciuhoi,0.859915278459731,-17.466963072362198
28665,Ciumeghiu,1.0388574420938983,-17.379727842747023
28709,Campani,-0.0,-21.0
28763,Cociuba Mare,0.32592772890615185,-18.83769187909355
28816,Copacel,0.403414070820556,-18.779246037953516
28889,Cristioru De Jos,0.1202814288558699,-18.953248358405084
28941,Curatele,0.0785826476882014,-18.972007662422605
29001,Curtuiseni,0.8990211528608564,-18.47372311585422
29038,Derna,0.7944618479579806,-17.564437985390235
29092,Diosig,1.0368454626681147,-18.376842342793886
29154,Dobresti,0.45091092879049793,-17.734689312237688
29243,Draganesti,0.38875543095351084,-18.811966202290673
29341,Dragesti,0.6535251452131556,-18.549507804788693
29403,Finis,0.8869305473316258,-17.462977842590487
29467,Girisu De Cris,0.8500027828912154,-16.51301265732009
29519,Hidiselu De Sus,0.2608669470890133,-16.888459266880048
29573,Holod,0.5701285765807875,-18.64581838906711
29662,Husasau De Tinca,0.5698336901338388,-18.653227139211324
29724,Ineu,0.8972994825125554,-18.459709433542066
29760,Lazuri De Beius,-0.0,-21.0
29813,Lazareni,0.5828873148194027,-18.616795253479115
29902,Lugasu De Jos,1.219974176882509,-17.3253687873528
29948,Lunca,0.07771973078206247,-17.974855749341348
30014,Madaras,0.6242425305737612,-15.716830916539116
30069,Magesti,0.419548016159629,-17.806886938316786
30149,Nojorid,0.3411301865257936,-15.849878344513762
30229,Olcea,0.400782957974237,-18.771807643946712
30274,Osorhei,0.8542551587765551,-16.518932171927926
30336,Pietroasa,0.2626504969269466,-19.863770293929477
30416,Pocola,0.07049078102517614,-18.976856680960516
30470,Pomezeu,0.13093503548888114,-18.94807653453538
30568,Popesti,0.7645011841598158,-16.616166817314095
30648,Rabagani,0.34280038556361103,-17.817692979609213
30719,Remetea,0.6525290114244774,-18.63912418888917
30773,Rieni,0.3926327721933575,-19.76892155870101
30844,Rosia,-0.0,-21.0
30871,Sacadat,0.3914348330508962,-18.796831379263857
30915,Oras Sacueni,0.6686002797043507,-18.63094368573467
30988,Salacea,0.24866157878844808,-18.8941241907065
31011,Salard,0.710857531765162,-16.572094413827045
31057,Sambata,0.04507909273177081,-19.984744313423295
31128,Sarbi,0.3014687983969966,-17.87886864600737
31208,Spinus,0.5811345602394156,-17.702649957258757
31262,Suplacu De Barcau,1.3348598266267668,-17.275090303791497
31333,Simian,0.8764336707726388,-17.49647415322469
31379,Sinteu,0.09707916741155646,-18.966479075370184
31422,Soimi,0.5057966504595464,-18.702906549989816
31510,Suncuius,0.37963045086910185,-18.814917991614863
31565,Tarcea,0.7640202773356414,-18.57332203947279
31609,Tarcaia,0.6982292644806661,-18.503891654778194
31654,Tauteu,1.0500854649898168,-17.384547656483946
31716,Tileagd,0.8541419560830598,-16.521646608823602
31789,Tinca,0.8683510763646457,-18.499430214766868
31841,Tulca,0.3737956700380395,-18.79345883058986
