CountryCode,F1,F2,F3,F4,F5,F6,F7
CHL,-0.2221121814911983,0.7210328310892145,-0.45931578653463184,-0.15815615656867554,-1.2651979778947773,-0.17542553800935143,0.3040690108083166
CHN,-0.22354500738525232,0.10473134169397316,-0.5141972036157799,0.6433296815866705,-0.5740003357686772,-0.16736817866774756,-0.3670739077077159
CMR,-0.0960956812981368,-1.0459357020385693,-0.3555328768923666,0.4507042337679875,-0.9454145911070909,-0.3215771661082769,-0.7857866887609758
COD,-0.1210241938930487,-1.4632285013772264,-0.4151327193256834,0.4221333319477917,-0.2355179343090394,-0.16385478285075655,-0.9359646638527073
COG,-0.10807423534023808,-1.3721744089627137,-0.31693191986012076,0.5705513813839954,-1.1293175170351095,-0.14828579301251685,-0.1959668357729626
COL,-0.22669830320284765,0.4024324096143601,-0.2110315854049677,-0.3812648686755743,-1.878292059411093,-0.38980981782533797,0.09505461526027828
COM,-0.13952563882336919,-1.4173990603722393,-0.23625386704885495,0.4694746809735677,-1.7003760797458274,0.7868975583782417,0.1951537252351557
CPV,-0.14436326242276395,-0.2552130855222511,-0.5186151847116869,0.20883484297487695,-0.8689617111896311,-0.16756153031998955,0.18933510592987948
CRI,-0.10881969949933232,0.24334968518575412,0.14671757560013163,-0.4915032920947072,-1.2832155769712266,0.15925443957192997,0.8814770549893385
CUW,-0.3240631693626306,0.32028712260860726,-0.5043567591481606,-0.10805281747712078,0.012040341168709369,0.379722662042228,-0.6408775489267885
CYM,-0.591756709566495,1.0003440649054907,0.8730698860034095,-0.10943424292700905,-0.12615141499169358,-0.6513469083995072,0.21802222424931395
CYP,-0.040295638533410796,0.6285633814289355,0.24860947057836202,-0.8954455430341259,0.9025722076641992,0.8483822694675964,1.2176061355287957
CZE,-0.042378902695658256,0.9333953170143077,-0.3192886116309043,0.5341842490187251,1.8394173143183548,-0.6828822475828589,0.07513921774243396
DEU,-0.2711850553135689,1.5139599910477208,-0.6513430900697492,-0.21772712324430146,1.2321190712172854,0.8759156741789415,0.8944651406578883
DMA,-0.05469674004340608,0.5996373258767767,0.09476678455808375,-0.5710977684284876,-0.055912957603237855,-0.5693108612353677,0.34608479189659724
DNK,-0.08390251027968948,1.4250847605172048,0.032246184462546665,1.6683822878380206,0.9617272492837033,0.65884224303627,1.0942665385673433
DOM,-0.11269449336311836,0.11745469276343017,-0.2683605950803871,-0.5422163487367138,-0.9096658306971854,-0.5332598182636659,-0.25052338739138347
DZA,-0.12544959268189318,-0.48066717847791174,-0.447686644581636,-0.6539579454453295,0.2996820212853504,-0.18192389804859005,0.0162423399238725
ECU,-0.21427020877759625,0.09639243192091794,-0.3898093432724574,-0.3652114423521052,-0.778637646913587,-0.5736757418991086,-0.5111353901672144
EGY,-0.17548152639385678,-0.3164776574451254,0.0031616368126422215,-0.8852887105720396,0.16921636984443955,0.19067092874624078,-0.023236948449299286
ERI,-0.11601246795506123,-1.6999582168999978,-0.4079436322862035,0.33867968196055076,0.27900648347803586,0.7522522419664801,-0.32599157519121574
ESP,-0.21126033012707873,1.2233446920694302,-0.5122042096933509,0.14330238689068156,0.0164264027039544,-0.10805987356380356,1.3679661782636063
EST,-0.10947672843270954,1.1508581416390555,1.3709434575426171,0.7796209726297469,0.058328830591976154,-0.12834841701076563,-0.13293425102840495
ETH,-0.10654067087489379,-1.4647915638494626,-0.5547576664085253,0.03758508935905018,1.30518912809,0.09343133917935906,-0.08526321587468656
FIN,0.17426593238163654,1.340529356990208,-0.40337367949175745,0.40594029892636574,1.6649049553673185,0.9480140161522929,1.1166491643860301
FJI,-0.05855764228264635,-0.21114675955898526,-0.5963313699522236,-0.4242365694301083,-0.11954149667563661,-0.20134195980712874,0.045464617989456065
FRA,-0.30922448783638457,1.4102365324761743,-0.6452016232135873,0.5944004967802233,0.7840147958828032,0.8685572660821149,1.0735644187353386
FRO,13.360993397370821,0.24605101764867177,-1.737303499159545,-0.5847240898502011,-0.2604771835036255,-0.5800687147078397,0.017902061984489945
GAB,-0.0856711869097879,-0.9769249625254453,-0.5435054592637353,-0.3359687492852387,-0.03914933211510792,0.008011288023827482,0.6699583119769468
GBR,-0.2165772829236052,1.6503406303071637,0.06534135129736222,-0.10322288496864142,0.5565515591787241,0.620162805026154,0.570479693016608
GEO,-0.01863291781001575,-0.2924613053683785,1.2018837407938472,0.3783243827270295,-0.5552665555845943,-0.5466394161926738,-0.8563600580400161
GHA,-0.13955310199693155,-0.9268932972507296,-0.3360693173817128,-0.20418059914044442,-0.3417617804758424,0.15119298017783245,0.14313100360224065
GIB,0.23242846054854296,0.5035482024967439,0.7909664114100314,0.16171328927049236,0.02425726262400607,-0.6044695828274719,0.9327187929278515
GIN,-0.15377893690518277,-1.4893983018747712,-0.4444122440061866,-0.6667744747594093,1.183196636326331,0.42180846168385716,-0.37569539017163656
GMB,-0.18207743907750668,-0.9944100608660504,-0.28237072830916937,-0.6671714656275242,-0.8097344250552749,0.4584992463941735,-0.25250518235881053
GNQ,-0.11049326651530586,-1.0596841603283222,-0.4898494398981279,0.2438972281432305,0.22232661606647489,0.3555740548439196,-0.2660248397643456
GRC,-0.14100786452997158,0.8861923384284001,0.2025498515695309,-0.6678880764508072,-0.05193841496434924,-0.4326344332815315,1.1776172682408297
GRD,-0.24407605766165114,0.20348938983924186,0.04462854552055988,0.04099832936951234,-0.012837725395262437,-0.6630691567150113,-0.056070675561206325
GRL,-0.09277542910917742,0.8465500800324625,-0.8251302683206,-0.0754174865433628,0.0449745781306907,-0.5614471677198539,-0.23882369048371524
GTM,-0.1622610559044579,-0.6863081686790027,-0.27900684546320387,-0.5111008993147589,-1.073092685663823,0.24834522983570861,-0.16478550035930337
GUM,-0.10756434449562002,0.6103315680746059,-0.6141463723467356,-0.08745216013515779,0.003614713628319185,-0.5932928478287314,-0.2018230604169419
GUY,-0.27288946436525713,-0.21879038708427928,-0.1468365954058365,-0.7232663019323193,-0.8288599003590769,-0.02928826386623318,-0.03739587921038489
HKG,0.2420648729483239,-0.027076216345543976,-0.414096753345199,7.3294537336780445,-0.9947724728384362,-0.9289600939926839,-0.8292595513576573
HND,-0.14995009007820606,-0.8078534946131256,-0.23179371477394586,-0.2431274497726831,-1.4786911968287004,-0.29853104697414334,0.0014113610075703344
HRV,0.1769340470579609,0.625850257578441,1.84919714322013,-0.8313604919824905,0.2636922345815622,-0.5580963683696846,0.5734795873022256
HTI,-0.16578642469808083,-1.116786096144408,-0.027197828252286414,-0.06851020604321834,-2.7428285183560464,0.6218500464920493,-0.07227989863314611
HUN,-0.12124834485978246,0.881649784622175,-0.08585167581786211,0.5101122578576204,0.9147278082443961,-0.46658230054418015,0.09416556489593389
IDN,-0.08537191900062892,-0.971499710632837,-0.5158080503022097,-0.376247507629876,0.57879932365263,-0.4680777187325921,-0.6385689069161571
IMN,-0.018965820117014438,0.209581447015117,0.15220306281985746,-0.11402900068877338,-0.10837542034902344,-0.4626743684510414,-0.2542017662969199
IND,0.04837877409759265,-1.0615942804377319,0.04815228912820195,-0.3950145211600697,1.1027648799127883,-0.38260345371066784,-0.9983374145980142
IRL,-0.12186242783193418,0.5706648226851201,0.8303108638080381,-0.26550140548057594,0.43204142126474604,3.732250780607332,0.2211610034629356
ISL,0.1803504615602521,1.1594329776361003,0.7980802190690738,1.7989210861648033,1.0235747175759295,1.124147519038621,0.618152052224736
ISR,-0.02555129267804579,1.1480526029545364,0.2331312172693884,0.09764072582388267,-1.0361437525461605,0.28853109492074547,0.18288075401117526
ITA,-0.24498229922671869,0.7871104906477492,-0.3983557557975906,-0.7624740525483538,0.3233796964192498,0.29035461154014447,0.884437620681065
JAM,0.12666774355914023,-0.3898159989849554,0.7682787808723022,-0.6477977770926444,-0.8375588406514191,0.22776625738397546,0.911572465570516
JOR,-0.15140481962562144,0.06102222376639157,-0.2340718331268869,-0.6220247978299913,0.15925035367962814,-0.21679961913600188,-0.06358299787605817
JPN,-0.35882197160041374,1.4780184802458247,-0.7000579244966699,1.1416231124166767,0.5731568043391697,-1.177852645047087,-0.9612885268390873
KAZ,-0.15636920985724362,0.4134509782928818,-0.7267887383769033,0.41977688816727105,2.0891404179517807,-1.0925128212611235,-1.093903670774037
KEN,-0.0968256459012804,-0.2586565580462149,-0.2052705263211905,-0.20988160187629712,-1.0492050294426931,-0.16913182007760477,0.4357472795241848
KGZ,-0.03259645105245695,-0.9047154595846644,-0.58600057036333,0.17261422275961286,2.377607424069484,-0.9685125714777387,-0.26869087196333513
KHM,-0.06535699545607156,-1.242306132979577,-0.5833594452893255,-0.06635417137221024,1.7756116585629436,-0.6511113217341747,-1.30925089705135
KIR,-0.0440397709995164,-1.25110489472149,-0.5525851675474188,0.48981748491645344,0.460150423764626,-0.04436821854229084,1.499846891345105
KNA,-0.3024574852553582,0.8477202713328388,0.2724037783308304,-0.05971126883397889,-0.12512165373447906,-0.7941857861703256,0.12449411823893432
KOR,-0.25397062546486954,1.156182594372195,-0.7184815305967185,2.053233497423581,-0.18995108805171876,-1.2587349609996832,-0.2318011204908215
KWT,-0.15553256897264575,0.8997587804939674,-0.6946333262949799,-0.4839260299524387,-0.040740586731600144,-0.5797850122276434,-0.6859861665059922
LAO,-0.12995925345882656,-1.1140312932022012,-0.5336633325875066,-0.183687718684454,0.6919313306463267,-0.39500789439099765,-0.9844976997284026
LBN,-0.3215344416965841,1.1371539187159574,-0.3667038767444421,-0.998022148959158,0.05202793761420367,-0.6004342737679038,-0.6378910786925895
LCA,-0.27374141223453907,0.03275053480351386,0.08528333431841296,0.06392468012012682,-0.6271371963446651,-0.27138757443585076,0.393296431687597
LIE,-0.2946541486223281,1.958084327533758,-0.6240896341423606,-0.7898479582659929,-0.37043913995696587,1.2735465206202805,-2.2047081131996626
LKA,0.06267576064026309,-1.0632305426388085,0.635777100681716,0.08499995418676104,0.18409486505574657,0.4890008939974424,-1.305372903015772
LSO,-0.08390510062264758,-1.10379881012309,-0.3647328372196053,0.1337021822571738,-1.7668527588907519,-0.044152988877318,2.6775401910299337
LTU,0.12615975092884907,0.2205428098259279,1.8213210281690069,2.835772102152929,-0.510424452473377,-1.001117587349345,0.09412386156828592
LUX,0.5059603876530946,1.0862502808471535,-6.510260222636577e-05,0.38599576784649553,-0.16471601683012113,5.647302996192899,0.0010322247238174725
LVA,0.07617901162656955,0.6074239022809041,1.415475969491638,2.2263686108964897,-0.48982029662404625,-0.9989417076123731,-0.02688273771907436
MAC,-0.28469780825630525,1.1879592273706039,-0.6794587535403871,-0.2836541041764382,-0.12056591315695493,0.17861480519224898,-1.4778764627050718
MAR,-0.06766743566256495,0.1476849200206859,-0.2426638027509976,-0.8108093041046768,0.08240323784960304,-0.11227859772595124,0.18793015767693935
MCO,0.5786505243236139,2.433759075917398,1.1716379987144154,-1.5144836054674398,-1.2193759493922933,2.0561971197491156,-4.081207842404092
MDA,0.5045288330639787,-0.2408218079952112,1.0900874140822703,-0.2194467904725672,1.7592113003378984,-0.46124953349208936,-0.3869942333595284
MDG,-0.10554406126449536,-1.5811776717900854,-0.3214174595183192,0.43181421967976025,-0.23564909322527508,0.504532065827403,-0.2965985344454077
MDV,-0.012986195613829772,-0.004769281901802262,-0.20731396814649614,-0.023171819531699323,0.07275915706915632,-0.3329320293011705,0.028233061512311395
MEX,-0.19808530766678303,0.291318327250939,-0.49472998880393493,-0.059816886666409226,-0.9489338231162462,-0.5637997920054615,-0.5358746262250216
MKD,0.9412743560012364,-0.21703423978315148,4.745911434143784,-0.7461527454163869,-1.5717051278984457,-0.3896218011178656,1.2667131546891426
MLI,-0.13294019942518379,-1.3924039423515384,-0.5505465165387776,-0.5690962492602291,1.3677607698891212,0.2741313146779171,-0.11403309919484252
MLT,-0.10613605285906802,0.8382632406136669,1.4821135460363193,-0.2358492133064571,-0.377069183457274,0.38225158694769096,0.39166204976553337
MMR,-0.12470515301979854,-1.1222081343103947,-0.4314312818949389,-0.17055562266687713,0.24388532934730775,0.1502899430127879,-0.7272678173634064
MNE,0.14627458161841084,0.04813848897371913,1.976278371492005,-0.9244362982767479,0.9682522627859098,-0.6652665172305321,0.6021008561217769
